path,status,reason,guid
content/docs/index.md,ok,,
content/docs/sk/index.md,ok,,
content/docs/en/index.md,ok,,
content/docs/en/knifes/index.md,ok,,
content/docs/sk/7Ds/index.md,ok,,
content/docs/sk/knifes/overview.md,ok,,
content/docs/sk/knifes/KNIFE_Overview_Blog.md,ok,,
content/docs/sk/knifes/index.md,ok,,
content/docs/sk/knifes/KNIFE_Overview_List.md,ok,,
content/docs/sk/knifes/KNIFE_Overview_Details.md,ok,,
content/docs/sk/knifes/K000051-google-analytics-fundamentals/index.md,ok,,
content/docs/sk/knifes/K000082-ako-urobit-text-v-md-atraktivnejsi-emoji/index.md,ok,,
content/docs/sk/knifes/K000042-singlepageapplication-webabased-desktop-app/index.md,ok,,
content/docs/sk/knifes/K000072-apv-assets-perspectives-views-keep-your-aseests-in-order/index.md,ok,,
content/docs/sk/knifes/K000017-ai-powered-terno-planner/index.md,ok,,
content/docs/sk/knifes/K000041-github-education-framework/index.md,ok,,
content/docs/sk/knifes/K000024-onenote-ako-zdroj-metadat-pre-ai/index.md,ok,,
content/docs/sk/knifes/K000019-bazi-vypocty-algoritmus-hodiny-kalendar/index.md,ok,,
content/docs/sk/knifes/K000037-context-aware-solutions-paradigma-solution/index.md,ok,,
content/docs/sk/knifes/K000045-zakladne-informacie-o-esg/index.md,ok,,
content/docs/sk/knifes/K000054-docusaurus-advanced-deployment-pipeline/index.md,ok,,
content/docs/sk/knifes/K000083-aktualizacia-komponentov-pre-docusaurus/AnalyzaMoznostiPreMacOS.md,ok,,
content/docs/sk/knifes/K000083-aktualizacia-komponentov-pre-docusaurus/SETUP.md,ok,,
content/docs/sk/knifes/K000083-aktualizacia-komponentov-pre-docusaurus/STUDENTS.md,ok,,
content/docs/sk/knifes/K000083-aktualizacia-komponentov-pre-docusaurus/index.md,ok,,
content/docs/sk/knifes/K000083-aktualizacia-komponentov-pre-docusaurus/CONTRIBUTING.md,ok,,
content/docs/sk/knifes/K000011-main-xba-sablona-pre-lo-basic/index.md,ok,,
content/docs/sk/knifes/K000064-ga4-gtn-utm/GA4vsGTM.md,ok,,
content/docs/sk/knifes/K000064-ga4-gtn-utm/GoogleAccount.md,ok,,
content/docs/sk/knifes/K000064-ga4-gtn-utm/index.md,ok,,
content/docs/sk/knifes/K000064-ga4-gtn-utm/GA4-Accounts.md,ok,,
content/docs/sk/knifes/K000035-context-aware-solutions-paradigma-solution/index.md,ok,,
content/docs/sk/knifes/K000038-ako-si-vyrobit-automaticke-nastavovanie-ssl/index.md,ok,,
content/docs/sk/knifes/K000034-pracovno-financny-ekosystem/index.md,ok,,
content/docs/sk/knifes/K000003-libreoffice-python-integracia/index.md,ok,,
content/docs/sk/knifes/K000086-docusaurus-id-a-jeho-pouzitie/index.user.template.md,ok,,
content/docs/sk/knifes/K000086-docusaurus-id-a-jeho-pouzitie/index.md,ok,,
content/docs/sk/knifes/K000086-docusaurus-id-a-jeho-pouzitie/index.template.md,ok,,
content/docs/sk/knifes/K000062-docusaurus-slugy-a-routing/index.md,ok,,
content/docs/sk/knifes/K000028-context-aware-system-ontology-approach/index.md,ok,,
content/docs/sk/knifes/K000013-readonlycontrol-v-ea-workflow-add-in/index.md,ok,,
content/docs/sk/knifes/K000040-migracia-joomla-github-mkdocs/index.md,ok,,
content/docs/sk/knifes/K000002-git-workflow-pre-ea-modely/index.md,ok,,
content/docs/sk/knifes/K000063-automaticke-generovanie-knifes/index.md,ok,,
content/docs/sk/knifes/path-check/index.md,ok,,
content/docs/sk/knifes/K000066-porovnanie-biznis-planov-github/index.md,ok,,
content/docs/sk/knifes/K000029-prostredie-vyvojove-python-pre-lo/index.md,ok,,
content/docs/sk/knifes/K000015-libreoffice-basic-python-migracia/index.md,ok,,
content/docs/sk/knifes/K000043-kontrola-odpovede-studentov-pomocou-api-na-ai/index.md,ok,,
content/docs/sk/knifes/K000026-knife-framework-pre-vyvoj-a-ucenie-sa-libreoffice-python/index.md,ok,,
content/docs/sk/knifes/K000074-sdlc-solution-development-life-cycle/index.md,ok,,
content/docs/sk/knifes/K000014-manazer-kniznic-pre-lo-basic/index.md,ok,,
content/docs/sk/knifes/K000071-7ds-seven-disciplines-for-successful-solutions/index.md,ok,,
content/docs/sk/knifes/K000058-ai-agent-na-monitoroavanie-nakladov-opengpt-od-pociatku-komunikacie/index.md,ok,,
content/docs/sk/knifes/K000046-thunderbird-archive-export/index.md,ok,,
content/docs/sk/knifes/K000057-ai-agent-na-monitoroavanie-nakladov-opengpt/index.md,ok,,
content/docs/sk/knifes/K000079-co-znamena-slovo-ze-je-nieco-idempotentne/index.md,ok,,
content/docs/sk/knifes/K000031-document-as-code-framework/index.md,ok,,
content/docs/sk/knifes/K000001-ea-modelovanie-a-motivacia/index.md,ok,,
content/docs/sk/knifes/_meta/releasenotes.md,ok,,
content/docs/sk/knifes/K000055-ako-obnovit-stav-z-minulosti/index.md,ok,,
content/docs/sk/knifes/K000059-stem-a-makerspace-ako-metodika-vzdelavania/index.md,ok,,
